episode,step,episodic reward,success rate,episodic length
15,2505,1.9636824022190464,0.4,191
15,2510,1.9636824022190464,0.4,196
15,2515,1.9636824022190464,0.4,201
15,2520,1.9636824022190464,0.4,206
15,2525,1.9636824022190464,0.4,211
15,2530,1.9636824022190464,0.4,216
15,2535,1.9636824022190464,0.4,221
15,2540,1.9636824022190464,0.4,226
15,2545,1.9636824022190464,0.4,231
15,2550,1.9636824022190464,0.4,236
16,2555,1.0192284477398401,0.4,3
16,2560,1.0192284477398401,0.4,8
16,2565,1.0192284477398401,0.4,13
16,2570,1.0192284477398401,0.4,18
16,2575,1.0192284477398401,0.4,23
16,2580,1.0192284477398401,0.4,28
16,2585,1.0192284477398401,0.4,33
16,2590,1.0192284477398401,0.4,38
16,2595,1.0192284477398401,0.4,43
16,2600,1.0192284477398401,0.4,48
16,2605,1.0192284477398401,0.4,53
16,2610,1.0192284477398401,0.4,58
16,2615,1.0192284477398401,0.4,63
16,2620,1.0192284477398401,0.4,68
16,2625,1.0192284477398401,0.4,73
16,2630,1.0192284477398401,0.4,78
16,2635,1.0192284477398401,0.4,83
16,2640,1.0192284477398401,0.4,88
16,2645,1.0192284477398401,0.4,93
16,2650,1.0192284477398401,0.4,98
16,2655,1.0192284477398401,0.4,103
16,2660,1.0192284477398401,0.4,108
16,2665,1.0192284477398401,0.4,113
16,2670,1.0192284477398401,0.4,118
16,2675,1.0192284477398401,0.4,123
16,2680,1.0192284477398401,0.4,128
16,2685,1.0192284477398401,0.4,133
16,2690,1.0192284477398401,0.4,138
16,2695,1.0192284477398401,0.4,143
16,2700,1.0192284477398401,0.4,148
16,2705,1.0192284477398401,0.4,153
16,2710,1.0192284477398401,0.4,158
16,2715,1.0192284477398401,0.4,163
16,2720,1.0192284477398401,0.4,168
16,2725,1.0192284477398401,0.4,173
16,2730,1.0192284477398401,0.4,178
16,2735,1.0192284477398401,0.4,183
16,2740,1.0192284477398401,0.4,188
16,2745,1.0192284477398401,0.4,193
16,2750,1.0192284477398401,0.4,198
16,2755,1.0192284477398401,0.4,203
16,2760,1.0192284477398401,0.4,208
16,2765,1.0192284477398401,0.4,213
16,2770,1.0192284477398401,0.4,218
16,2775,1.0192284477398401,0.4,223
16,2780,1.0192284477398401,0.4,228
16,2785,1.0192284477398401,0.4,233
17,2790,1.9388679326958074,0.45,4
17,2795,1.9388679326958074,0.45,9
17,2800,1.9388679326958074,0.45,14
17,2805,1.9388679326958074,0.45,19
17,2810,1.9388679326958074,0.45,24
17,2815,1.9388679326958074,0.45,29
17,2820,1.9388679326958074,0.45,34
17,2825,1.9388679326958074,0.45,39
17,2830,1.9388679326958074,0.45,44
17,2835,1.9388679326958074,0.45,49
17,2840,1.9388679326958074,0.45,54
17,2845,1.9388679326958074,0.45,59
17,2850,1.9388679326958074,0.45,64
17,2855,1.9388679326958074,0.45,69
17,2860,1.9388679326958074,0.45,74
17,2865,1.9388679326958074,0.45,79
17,2870,1.9388679326958074,0.45,84
17,2875,1.9388679326958074,0.45,89
17,2880,1.9388679326958074,0.45,94
17,2885,1.9388679326958074,0.45,99
17,2890,1.9388679326958074,0.45,104
17,2895,1.9388679326958074,0.45,109
17,2900,1.9388679326958074,0.45,114
17,2905,1.9388679326958074,0.45,119
17,2910,1.9388679326958074,0.45,124
17,2915,1.9388679326958074,0.45,129
17,2920,1.9388679326958074,0.45,134
17,2925,1.9388679326958074,0.45,139
17,2930,1.9388679326958074,0.45,144
17,2935,1.9388679326958074,0.45,149
17,2940,1.9388679326958074,0.45,154
17,2945,1.9388679326958074,0.45,159
17,2950,1.9388679326958074,0.45,164
17,2955,1.9388679326958074,0.45,169
17,2960,1.9388679326958074,0.45,174
17,2965,1.9388679326958074,0.45,179
17,2970,1.9388679326958074,0.45,184
17,2975,1.9388679326958074,0.45,189
17,2980,1.9388679326958074,0.45,194
17,2985,1.9388679326958074,0.45,199
17,2990,1.9388679326958074,0.45,204
17,2995,1.9388679326958074,0.45,209
17,3000,1.9388679326958074,0.45,214
17,3005,1.9388679326958074,0.45,219
17,3010,1.9388679326958074,0.45,224
18,3015,1.9637736928345073,0.5,2
18,3020,1.9637736928345073,0.5,7
18,3025,1.9637736928345073,0.5,12
18,3030,1.9637736928345073,0.5,17
18,3035,1.9637736928345073,0.5,22
18,3040,1.9637736928345073,0.5,27
18,3045,1.9637736928345073,0.5,32
18,3050,1.9637736928345073,0.5,37
18,3055,1.9637736928345073,0.5,42
